model,face_vs_nose,face_vs_mouth,face_vs_l_eye,face_vs_r_eye,face_vs_hair,nose_vs_face,nose_vs_mouth,nose_vs_l_eye,nose_vs_r_eye,nose_vs_hair,mouth_vs_face,mouth_vs_nose,mouth_vs_l_eye,mouth_vs_r_eye,mouth_vs_hair,l_eye_vs_face,l_eye_vs_nose,l_eye_vs_mouth,l_eye_vs_r_eye,l_eye_vs_hair,r_eye_vs_face,r_eye_vs_nose,r_eye_vs_mouth,r_eye_vs_l_eye,r_eye_vs_hair,hair_vs_face,hair_vs_nose,hair_vs_mouth,hair_vs_l_eye,hair_vs_r_eye
Flux,17.565474430978423,24.17083587553386,83.11048951048951,86.94074615947329,0.5767612503093744,0.0569298599892299,1.376042302216799,4.731468531468532,4.949524506217996,0.0328349372273258,0.0413721728594507,0.7267218445167012,3.4384615384615387,3.5969275786393564,0.0238618661464323,0.0120321755519655,0.2113508720070943,0.29082774049217,1.0460863204096562,0.0069396926152935,0.0115020866989768,0.2020396098137747,0.2780150498271304,0.955944055944056,0.0066339579056687,1.7338196688206786,30.455365060597103,41.9078706528371,144.0986013986014,150.73957571324067
GPT,14.894764815306935,22.049173878835564,126.23648648648648,114.61963190184048,2.127500474473335,0.0671376830987171,1.4803304484657749,8.475225225225225,7.695296523517382,0.1428354526475612,0.0453531731163803,0.6755248471963858,5.725225225225225,5.198364008179959,0.0964888973239704,0.007921639993577,0.1179909646558596,0.1746656176239181,0.9079754601226994,0.0168532928449421,0.0087245089118449,0.1299495083709806,0.1923682140047207,1.101351351351351,0.018561396849497,0.4700351478170886,7.001062981663567,10.363886703383162,59.335585585585584,53.87525562372189
Gemini,17.46841349605169,18.44145509662751,95.42549019607844,90.62756052141528,0.8478276018257204,0.0572461832453202,1.0557029177718833,5.462745098039216,5.188081936685289,0.0485348942545555,0.0542256559886576,0.9472361809045228,5.174509803921569,4.9143389199255125,0.04597400787429,0.0104793802782172,0.1830581478822684,0.1932550208412277,0.9497206703910616,0.0088847078499007,0.0110341709988287,0.1927494615936827,0.2034861690034103,1.0529411764705885,0.0093550747360719,1.1794850720200547,20.60373295046662,21.751420992800305,112.55294117647058,106.89385474860336
SDXL,12.791037622813324,20.72893203883495,96.17477477477478,101.8645038167939,1.2523344751536765,0.0781797403375985,1.6205825242718446,7.518918918918919,7.963740458015267,0.0979071840833372,0.0482417520654963,0.6170620656601965,4.63963963963964,4.91412213740458,0.0604148092534371,0.0103977368529516,0.1329978432782171,0.2155339805825242,1.0591603053435117,0.0130214443245272,0.009816962362066,0.1255691349149293,0.2034951456310679,0.9441441441441442,0.0122941204073013,0.7985087209846938,10.213755092259763,16.552233009708736,76.7963963963964,81.33969465648855
